docname,Segment,WPS,WC,Sixltr,Dic,culture.culture-high,culture.culture-popular,culture.sport,culture,economy.+state+,economy.=state=,economy.-state-,environment.con environment,environment.pro environment,groups.ethnic,groups.women,institutions.conservative,institutions.neutral,institutions.radical,law_and_order.law-conservative,law_and_order.law-liberal,rural,urban,values.conservative,values.liberal,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Summary_of_the_Party_s_Historical_Experience_to_St.csv.32,820,20,20,20,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,5,5
Summary_of_the_Party_s_Historical_Experience_to_St.csv.33,821,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.34,822,26.285714285714285,368,29.89,3.8,0,0,0,0.27,0.27,0.27,0.27,0,0,0,0,0.54,0.27,0,0,0,0,0,1.9,0,12.5,3.26,4.08,0,0,0,0.54,0.54,4.08,1.9,0,7.88
Summary_of_the_Party_s_Historical_Experience_to_St.csv.35,823,40,40,22.5,7.5,0,0,0,0,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2.5,0,0,0,0,2.5,0,0,5,2.5
Summary_of_the_Party_s_Historical_Experience_to_St.csv.36,824,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.37,825,42.25,169,25.44,2.96,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,1.18,0,11.24,2.37,6.51,0,0,0,0,2.37,0,0,0,8.88
Summary_of_the_Party_s_Historical_Experience_to_St.csv.38,826,18,18,27.78,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,16.67,0,5.56,0,0,0,0,0,0,0,5.56,5.56
Summary_of_the_Party_s_Historical_Experience_to_St.csv.39,827,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.40,828,31.5,126,30.95,4.76,0,0,0,0.79,0,0,0.79,0,0,0,0,0,0,0.79,0.79,0,0,0,1.59,0,10.32,3.17,5.56,0,0,0,0,0.79,0.79,0.79,0,8.73
Summary_of_the_Party_s_Historical_Experience_to_St.csv.41,829,18,18,27.78,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,16.67,0,5.56,0,0,0,0,0,0,0,5.56,5.56
Summary_of_the_Party_s_Historical_Experience_to_St.csv.42,830,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
